Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC457954;75015;2025-08-11;2025-12-05;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;8.73;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;;916696;297797;"{""coordinates"": [[[2.3054904478939515, 48.835185802301815], [2.305543656017116, 48.83524784060141], [2.3055245220559786, 48.835188277359336], [2.3055173081162246, 48.835183175601465], [2.3054904478939515, 48.835185802301815]]], ""type"": ""Polygon""}";48.835205734296565, 2.305518901287592
EC425787;75013;2024-12-02;2026-06-01;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;129.33;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;891981;277703;"{""coordinates"": [[[2.3454469813081875, 48.816016292896734], [2.3454812859740994, 48.816030142341695], [2.345857596288102, 48.81598721004146], [2.3459006237091016, 48.81591312660403], [2.3458517671101067, 48.815850016620466], [2.3457766385558445, 48.81590243000995], [2.3458336993570024, 48.81597104956895], [2.3454469813081875, 48.816016292896734]]], ""type"": ""Polygon""}";48.815953640630504, 2.3457607320745564
EC418072;75020;2025-05-05;2026-09-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;59.36;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;885753;272718;"{""coordinates"": [[[2.404171534615551, 48.86163181188671], [2.404107466274901, 48.86168203773162], [2.404125292725865, 48.86169237180162], [2.404108560530279, 48.86170708806688], [2.4041511024359474, 48.861728702436295], [2.4042545768559562, 48.86164247061318], [2.404204041073974, 48.86162582581895], [2.4041852463740736, 48.86163984832721], [2.404171534615551, 48.86163181188671]]], ""type"": ""Polygon""}";48.86167315786087, 2.4041734339899246
EC322751;75015;2023-03-30;2025-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;276.39;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;DEUX_ROUES;811445;212863;"{""coordinates"": [[[2.281467341674409, 48.84875813924656], [2.280969179513748, 48.84840724067701], [2.280908784261786, 48.84843374531803], [2.2814165556918624, 48.84878834427227], [2.281467341674409, 48.84875813924656]]], ""type"": ""Polygon""}";48.848595574206236, 2.2811885084516836
EC474301;75017;2025-11-03;2026-01-20;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.88;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;928660;307508;"{""coordinates"": [[[2.3233184156020914, 48.89427486914238], [2.3232978955253762, 48.89428094592789], [2.3233342928400864, 48.89432850815833], [2.3233553652795016, 48.89432243448782], [2.3233184156020914, 48.89427486914238]]], ""type"": ""Polygon""}";48.89430177355009, 2.323326563165105
EC470424;75014;2025-09-29;2025-12-19;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;255.85;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;927063;306199;"{""coordinates"": [[[2.3346313895931545, 48.83381753147875], [2.334603049266535, 48.83376819350215], [2.3340638038532853, 48.83391683264243], [2.334094886208274, 48.833967552153446], [2.3346313895931545, 48.83381753147875]]], ""type"": ""Polygon""}";48.833867972217156, 2.334346626546752
EC473327;75007;2025-11-24;2025-12-06;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;104.25;Travaux sur réseau de climatisation;EMPRISE_CHAUSSEE;;929282;308011;"{""coordinates"": [[[2.314525702721601, 48.85187888489157], [2.314524005937058, 48.85181113817613], [2.314285550134737, 48.85180020534433], [2.3142828522565138, 48.85181880930573], [2.314328807884714, 48.851822311260364], [2.3143657670247046, 48.851856928919005], [2.314418485454325, 48.85185925455822], [2.3144267204292075, 48.85188601719137], [2.314525702721601, 48.85187888489157]]], ""type"": ""Polygon""}";48.85183764374167, 2.3144297267047027
EC474563;75009;2025-10-27;2025-12-19;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;10.18;Travaux sur réseau d’assainissement;EMPRISE_TROTTOIR;;930133;308736;"{""coordinates"": [[[2.3306761436809724, 48.8746798413783], [2.3307562474981336, 48.87467786103303], [2.3307564425226936, 48.87466268308781], [2.3306754262842078, 48.874664052177145], [2.3306761436809724, 48.8746798413783]]], ""type"": ""Polygon""}";48.87467110065386, 2.3307157915975316
EC442349;75010;2025-03-31;2026-04-30;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);101.8;Travaux sur édifice public (VdP*);EMPRISE_TROTTOIR;;904922;288185;"{""coordinates"": [[[2.352097487378551, 48.878663467005794], [2.3521057771599687, 48.87866305680755], [2.352069343867938, 48.87853945760835], [2.3520496294094926, 48.87851476133372], [2.3520060790462654, 48.878491530556026], [2.3519191314282435, 48.87848832771707], [2.351645339647441, 48.87852054144141], [2.3515828814808586, 48.87854661388548], [2.351560200497958, 48.8785938481313], [2.3515733161776966, 48.878649472790116], [2.3515970447364274, 48.87873976216897], [2.35161505082817, 48.87873530636842], [2.351575364904319, 48.878595751419006], [2.3516119084857627, 48.878544038927814], [2.3517405940673637, 48.87852196831075], [2.351959012118498, 48.87850129345615], [2.3520415344703176, 48.87852723983762], [2.3520831918604026, 48.8786194473147], [2.352097487378551, 48.878663467005794]]], ""type"": ""Polygon""}";48.878558662619724, 2.351802698529938
EC477245;75015;2025-11-10;2025-12-01;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;2.49;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;932412;310532;"{""coordinates"": [[[2.3043501040113155, 48.84588024031363], [2.3043382650941933, 48.84587688249694], [2.3043222772540024, 48.84589728154859], [2.3043348785559385, 48.84590089652131], [2.3043501040113155, 48.84588024031363]]], ""type"": ""Polygon""}";48.84588893587141, 2.3043362990702954
EC457625;75007;2025-08-01;2025-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;211.04;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;916402;297570;"{""coordinates"": [[[2.3115296154706915, 48.847865350898864], [2.3115553109550517, 48.847852747603994], [2.3118397476260615, 48.84784026760616], [2.3118616922565574, 48.84785041272174], [2.3118470332984042, 48.84775879852001], [2.3118110551238975, 48.84776633238394], [2.311772340355806, 48.84777202928643], [2.311733626929999, 48.84777772708353], [2.311683921816194, 48.847779717415435], [2.3116349135371945, 48.84778125755811], [2.3115859473691085, 48.84777960968399], [2.311499082208564, 48.84777410037987], [2.3115074663522073, 48.84787068796426], [2.3115296154706915, 48.847865350898864]]], ""type"": ""Polygon""}";48.84781233711745, 2.3116757844122504
EC467566;75010;2025-10-01;2025-12-01;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;8.1;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;;924550;304233;"{""coordinates"": [[[2.3657276436152914, 48.8831043479936], [2.3657721062324866, 48.883081816138855], [2.365768168994077, 48.88306494726418], [2.3657126215670856, 48.88309060851176], [2.3657276436152914, 48.8831043479936]]], ""type"": ""Polygon""}";48.88308539771603, 2.3657445127764913
EC450333;75011;2025-08-10;2026-01-30;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;61.01;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;910747;292872;"{""coordinates"": [[[[2.3684521356763755, 48.86467981285166], [2.3684523758468203, 48.86468001647122], [2.3684065120336735, 48.86470573038474], [2.368465213790933, 48.86470285198517], [2.368684801919137, 48.86458015207156], [2.3686580954459795, 48.8645627078297], [2.3684521356763755, 48.86467981285166]]], [[[2.3684107016531124, 48.864644733862356], [2.3684283287861163, 48.864659657052385], [2.368412082424925, 48.86464474114904], [2.3686231127359965, 48.864487843621085], [2.3684107016531124, 48.864644733862356]]], [[[2.3684283287861163, 48.864659657052385], [2.3684509909206017, 48.864680464230695], [2.3684521356763755, 48.86467981285166], [2.3684283287861163, 48.864659657052385]]]], ""type"": ""MultiPolygon""}";48.86463637322513, 2.368553163975909
EC467612;75019;2025-09-15;2025-12-19;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;1513.58;Espaces verts – Végétalisation de l’espace public;EMPRISE_TROTTOIR;;924575;304259;"{""coordinates"": [[[2.3966102017197546, 48.881401232164635], [2.3971305970588572, 48.88153590645284], [2.3971738430414335, 48.88161717693974], [2.3972661008550986, 48.88163949867793], [2.397607273069032, 48.88139168138887], [2.3975386882542993, 48.88135217598592], [2.3973962505129256, 48.881370584215716], [2.3970229525993614, 48.88129220433551], [2.3967917677453596, 48.88122364777655], [2.3966102017197546, 48.881401232164635]]], ""type"": ""Polygon""}";48.881418506628265, 2.3971055540612998
EC366789;75017;2024-01-08;2026-02-06;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;314.17;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;845837;240373;"{""coordinates"": [[[2.3255920019205347, 48.88324316080739], [2.3264389426257366, 48.88342146995211], [2.3264540750471623, 48.88337854903663], [2.325612477009955, 48.88320229357963], [2.3255920019205347, 48.88324316080739]]], ""type"": ""Polygon""}";48.883311693615624, 2.326025800789607
EC466087;75019;2025-11-06;2025-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.15;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;923414;303286;"{""coordinates"": [[[2.397991478843458, 48.8770326748814], [2.3979933107953233, 48.87693387195705], [2.3979795052315627, 48.87693380253043], [2.3979776666199286, 48.87703306138174], [2.397991478843458, 48.8770326748814]]], ""type"": ""Polygon""}";48.87698335167871, 2.3979854850942735
